Best: 0.264791 using {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 2}
0.079365 (0.059391) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 1}
0.111111 (0.080937) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 2}
0.202742 (0.079673) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 0}
0.093795 (0.002041) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 1}
0.063492 (0.044896) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 2}
0.157287 (0.060949) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 0}
0.186869 (0.064943) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 1}
0.157287 (0.090829) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 2}
0.126263 (0.081648) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 0}
0.093795 (0.002041) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 1}
0.063492 (0.044896) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 2}
0.186869 (0.034557) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 0}
0.142136 (0.103540) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 1}
0.078644 (0.023468) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 2}
0.217172 (0.092211) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 0}
0.217172 (0.092211) with: {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 1}
